"round_id","condition","participant_id","selected_elements","trust_article","trust_image"
269,"no_color",74,"Headline;Topic","4","5"
270,"c2pa",75,"Picture;Headline","5","6"
271,"color",73,"Headline;Topic","6","4"
272,"nolabel",72,"Headline","6","5"
273,"nolabel",72,"Headline;Topic","7","7"
274,"no_color",66,"Headline","7","7"
275,"c2pa",75,"Headline","6","6"
276,"c2pa",75,"Topic","5","6"
277,"color",77,"Headline","4","5"
278,"c2pa",71,"Picture;Headline;Topic","4","5"
279,"no_color",66,"Picture","7","7"
280,"c2pa",79,"Topic","7","7"
281,"no_color",74,"Headline;Topic","4","4"
282,"nolabel",76,"Headline;Topic","7","1"
283,"no_color",78,"Headline;Topic","4","6"
284,"c2pa",79,"Headline","4","5"
285,"color",77,"Headline;Topic","5","7"
286,"no_color",74,"Headline;Topic","4","4"
287,"color",81,"Headline;Topic","4","6"
288,"nolabel",80,"Headline;Topic","4","5"
289,"color",73,"Picture;Headline","6","6"
290,"c2pa",71,"Picture;Image label;Headline;Topic","5","5"
291,"c2pa",79,"Topic","7","6"
292,"color",77,"Headline","4","5"
293,"no_color",78,"Headline;Topic","4","4"
294,"no_color",82,"Headline;Topic","4","4"
295,"c2pa",83,"Headline;Topic","3","3"
296,"nolabel",80,"Headline;Topic","4","6"
297,"color",73,"Headline;Topic","5","4"
298,"no_color",78,"Topic","4","4"
299,"c2pa",36,"Picture;Image label","7","6"
300,"nolabel",80,"Headline;Topic","4","2"
301,"no_color",82,"Picture;Headline","4","4"
302,"c2pa",83,"Topic","4","4"
303,"nolabel",84,"Headline;Topic","4","4"
304,"c2pa",83,"Headline","4","4"
305,"nolabel",76,"Picture;Headline;Topic","7","7"
306,"no_color",86,"Headline;Topic","6","7"
307,"no_color",82,"Picture;Image label;Headline;Topic","6","5"
308,"color",85,"Headline","4","4"
309,"nolabel",76,"Picture;Image label;Topic","7","7"
310,"no_color",86,"Headline","5","5"
311,"no_color",86,"Headline;Topic","6","6"
312,"color",81,"Headline;Topic","4","4"
313,"nolabel",87,"Headline","5","6"
314,"nolabel",84,"Headline;Topic","4","4"
315,"color",88,"Picture;Headline;Topic","3","4"
